item_nao_normalizado,item_normalizado
CC 2L,COCA COLA S/C - 2 LITROS
COCA COLA 2 LT,COCA COLA S/C - 2 LITROS
COKA COLA 2L,COCA COLA S/C - 2 LITROS
COCA-COLA 2LT,COCA COLA S/C - 2 LITROS
COCACOLA 2 LITROS,COCA COLA S/C - 2 LITROS
CCA COLA 2L,COCA COLA S/C - 2 LITROS
REFRIG COCA 2L,COCA COLA S/C - 2 LITROS
COCA COLA DOIS LITROS,COCA COLA S/C - 2 LITROS
REFRIG CC 2LT,COCA COLA S/C - 2 LITROS
COCA COLA 2000ML,COCA COLA S/C - 2 LITROS
CADEADO PADO LT-50MM,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CAD PDO LT50,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CADEADO PADRAO LT 50MM,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CDO PADO LT-50,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CADEADO PADO LT50MM,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CAD PADR LT-50MM,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CADEADO PDO 50MM,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CADEADO PADO MOD LT50,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CDO PAD LT 50 MM,CADEADO PADO LT 50MM S/C - 1 UNIDADE
CADEADO PADO LT - 50 MM,CADEADO PADO LT 50MM S/C - 1 UNIDADE
ARR BCO TJ 1KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARROZ BRANCO TIO JOAO 1KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARZ BCO TIO JOAO 1 KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARROZ TIO JOAO BCO 1KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARR BRANCO TIO JOAO 1KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARRZ TIO JOA BCO 1KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARROZ BCO 1KG TIO JOAO,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARZ BRCO TIO JOAO 1KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARROZ BCO TIO JO 1KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
ARR BCO T JOAO 1 KG,ARROZ BRANCO TIO JOAO S/C - 1 KG
FEJ CARIOCA KICALDO 1KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FEIJAO CARIOCA KICALDO 1KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FEIJ CAR KICALDO 1 KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FJO CARIOCA KICALDO 1KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FEIJAO CARICOA KICALDO 1KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FEIJ CARIOCA KIC 1KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FJ CARIOCA KICALDO 1KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FEIJAO CARIOCA KICLD 1KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FEIJAO CAR KICALDO 1 KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
FJO CAR KICALDO1KG,FEIJAO CARIOCA KICALDO S/C - 1 KG
LEITE INTEGRAL ITALAC 1L,LEITE INTEGRAL ITALAC S/C - 1 LITRO
LT INTEG ITALAC 1L,LEITE INTEGRAL ITALAC S/C - 1 LITRO
LEITE INT ITALAC 1LT,LEITE INTEGRAL ITALAC S/C - 1 LITRO
LEITE ITALAC INTEGRAL 1L,LEITE INTEGRAL ITALAC S/C - 1 LITRO
