id,original,tipo_variacao,attacked
0,SPRAY BED HEAD TIGI KEEP IT CASUAL HAIRSPRAY 400ML,Abreviacao,SPRY BED HEAD TIGI KEEP IT CASL HRSPRY 400ML
0,SPRAY BED HEAD TIGI KEEP IT CASUAL HAIRSPRAY 400ML,Abreviacao,SPR. BED HEAD TIGI KEEP IT CASUAL H.SPRAY 400ML
0,SPRAY BED HEAD TIGI KEEP IT CASUAL HAIRSPRAY 400ML,Notacao_Unidades,"SPRAY BED HEAD TIGI KEEP IT CASUAL HAIRSPRAY 0,4L"
0,SPRAY BED HEAD TIGI KEEP IT CASUAL HAIRSPRAY 400ML,Notacao_Unidades,SPRAY BED HEAD TIGI KEEP IT CASUAL HAIRSPRAY 400 mililitros
0,SPRAY BED HEAD TIGI KEEP IT CASUAL HAIRSPRAY 400ML,Erro_Digitacao,SPRYA BED HEAD TIGI KEEP IT CASUAL HAIRSPAR 400ML
0,SPRAY BED HEAD TIGI KEEP IT CASUAL HAIRSPRAY 400ML,Erro_Digitacao,SPRAY BED HEAD TIGI KEEP IT CASUALL HAIRSPRYA 400ML
1,KIT ANTIQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWAY,Abreviacao,KT ANTIQ. 2 SHAMP. 1 COND. SATINIQUE AMWAY
1,KIT ANTIQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWAY,Abreviacao,KIT ANTIQ. 2 SHAMPOOS 1 COND. SATINIQUE AMWAY
1,KIT ANTIQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWAY,Notacao_Unidades,KIT ANTIQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWAY (UNIDADE 3)
1,KIT ANTIQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWAY,Notacao_Unidades,KIT ANTIQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWAY (TOTAL 3 UN)
1,KIT ANTIQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWAY,Erro_Digitacao,KIT ANTQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWYA
1,KIT ANTIQUEDA 2 SHAMPOOS 1 CONDICIONADOR SATINIQUE AMWAY,Erro_Digitacao,KIT ANTIQUEDA 2 SHAMPOS 1 CONDICIONADOR SATINIQUE AMWAYY
2,KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCARAS 500G,Abreviacao,KT WELLA CRON. CAP. FIOS PERF. 03 MASC. 500G
2,KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCARAS 500G,Abreviacao,KIT WELLA CRONOGRAMA CAP. FIOS PERF. 03 MASC. 500G
2,KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCARAS 500G,Notacao_Unidades,"KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCARAS 0,5KG"
2,KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCARAS 500G,Notacao_Unidades,KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCARAS 500 gramas
2,KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCARAS 500G,Erro_Digitacao,KIT WELLA CRONOGRAA CAPILAR FIOS PERFEITOS 03 MASCARAS 500G
2,KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCARAS 500G,Erro_Digitacao,KIT WELLA CRONOGRAMA CAPILAR FIOS PERFEITOS 03 MASCAARS 500G
3,KIT BRAE DIVINE SHAMPOO COND MASCARA SERUM,Abreviacao,KIT BRAE DIV. SHAMP. COND. MASC. SERUM
3,KIT BRAE DIVINE SHAMPOO COND MASCARA SERUM,Abreviacao,KT BRAE DIVINE SHAMP. COND. MASC. SERUM
3,KIT BRAE DIVINE SHAMPOO COND MASCARA SERUM,Notacao_Unidades,KIT BRAE DIVINE SHAMPOO COND MASCARA SERUM (4 ITENS)
3,KIT BRAE DIVINE SHAMPOO COND MASCARA SERUM,Notacao_Unidades,KIT BRAE DIVINE SHAMPOO COND MASCARA SERUM (QTD 4)
3,KIT BRAE DIVINE SHAMPOO COND MASCARA SERUM,Erro_Digitacao,KIT BRAE DIVINE SHAMPO 1 COND MASCARA SERUM
3,KIT BRAE DIVINE SHAMPOO COND MASCARA SERUM,Erro_Digitacao,KIT BRAEE DIVINE SHAMPOO COND MASCARA SERUMM
4,01 KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTE,Abreviacao,01 KT CAP. PROF. CB COSM. VERNIZ BRILH.
4,01 KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTE,Abreviacao,01 KIT CAPILAR PROF. CB COSM. VERNIZ BRILHANTE
4,01 KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTE,Notacao_Unidades,KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTE (UN 1)
4,01 KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTE,Notacao_Unidades,KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTE (1 PC)
4,01 KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTE,Erro_Digitacao,01 KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTEE
4,01 KIT CAPILAR PROFISSIONAL CB COSMETICOS VERNIZ BRILHANTE,Erro_Digitacao,01 KIT CAPILAR PROFISSONAL CB COSMETICOS VERNIZ BRILHANTE
