title,normalized
ACUCAR CRISTAL UNIAO 1KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
FEIJ CARIOCA KIC 1KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
MAC ESAGUETE ADRIA 500G,MACARRÃO ESPAGUETE ADRIA - 500 GRAMAS
CAFE PILO TRAD 500G,CAFÉ PILÃO TRADICIONAL - 500 GRAMAS
CERV SKOL P MALTE 269ML LT,CERVEJA SKOL PURO MALTE LATA - 269 MILILITROS
DETERGENTE LIM YPE 500ML,DETERGENTE YPÊ LIMÃO - 500 MILILITROS
CFE TRADICIONAL PILAO 500G,CAFÉ PILÃO TRADICIONAL - 500 GRAMAS
ARR BCO T JOAO 1 KG,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
AZEITE EXTRA VIRGM GALO 500ML,AZEITE GALO EXTRA VIRGEM - 500 MILILITROS
FRALD PAMPERS SUPSEC M 30,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
CERVEJA SKOL PURO MLT 269ML LATA,CERVEJA SKOL PURO MALTE LATA - 269 MILILITROS
FEIJAO CARIOCA KICALDO 1KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
FRALDA PAMPRS SUPERSEC M C/30,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
CADEADO PADRAO LT 50MM,CADEADO PADO LT 50 MILÍMETROS - 1 UNIDADE
LT INTEG ITALAC 1L,LEITE ITALAC INTEGRAL - 1 LITRO
PNEU 175-70-R13 BRIDGESTONE,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
ACU CRISTAL UNI 1KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
AGUA MINERAL CRYSTL S/GAS 500ML,ÁGUA MINERAL CRYSTAL SEM GÁS - 500 MILILITROS
AGUA MINRL SEM GAS CRYSTAL 500ML,ÁGUA MINERAL CRYSTAL SEM GÁS - 500 MILILITROS
ARROZ BCO 1KG TIO JOAO,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
FEIJAO CAR KICALDO 1 KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
MACARRÃO ESPAGUETE ADRIA 500GR,MACARRÃO ESPAGUETE ADRIA - 500 GRAMAS
FRALDA PAMPERS SUPRSEC M C/30,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
SHAMPOO ANTI CASPA HEAD SHOULDERS 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
OL MOTOR 5W30 SINT CASTROL 1LT,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
SHAMPOO A CASPA HEAD SHOULDERS 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
COKA COLA 2L,REFRIGERANTE COCA COLA - 2 LITROS
LT INT ITALAC 1 LITRO,LEITE ITALAC INTEGRAL - 1 LITRO
AGUA MINRAL S GAS CRYSTAL 500ML,ÁGUA MINERAL CRYSTAL SEM GÁS - 500 MILILITROS
CREME DENTAL MENTA COLGATE 90G,CREME DENTAL COLGATE MENTA - 90 GRAMAS
AZEITE EV GALO 500ML,AZEITE GALO EXTRA VIRGEM - 500 MILILITROS
FJ CARIOCA KICALDO 1KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
XAMPU ANTICASPA HEAD SHOULDERS 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
ARZ BCO TIO JOAO 1 KG,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
MAC ESPAG ADRIA 500G,MACARRÃO ESPAGUETE ADRIA - 500 GRAMAS
SABAO PO LAVANDA OMO 1KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
OLEO MOT 5W30 SINT CASTROL 1L,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
