item_nao_normalizado,item_normalizado
CC 2L,Coca-Cola 2 Litros
COCA COLA 2 LT,Coca-Cola 2 Litros
COKA COLA 2L,Coca-Cola 2 Litros
COCA-COLA 2LT,Coca-Cola 2 Litros
COCACOLA 2 LITROS,Coca-Cola 2 Litros
CCA COLA 2L,Coca-Cola 2 Litros
REFRIG COCA 2L,Coca-Cola 2 Litros
COCA COLA DOIS LITROS,Coca-Cola 2 Litros
REFRIG CC 2LT,Coca-Cola 2 Litros
COCA COLA 2000ML,Coca-Cola 2 Litros
CADEADO PADO LT-50MM,Cadeado Pado LT-50MM
CAD PDO LT50,Cadeado Pado LT-50MM
CADEADO PADRAO LT 50MM,Cadeado Pado LT-50MM
CDO PADO LT-50,Cadeado Pado LT-50MM
CADEADO PADO LT50MM,Cadeado Pado LT-50MM
CAD PADR LT-50MM,Cadeado Pado LT-50MM
CADEADO PDO 50MM,Cadeado Pado LT-50MM
CADEADO PADO MOD LT50,Cadeado Pado LT-50MM
CDO PAD LT 50 MM,Cadeado Pado LT-50MM
CADEADO PADO LT - 50 MM,Cadeado Pado LT-50MM
ARR BCO TJ 1KG,Arroz Branco Tio João 1 Kg
ARROZ BRANCO TIO JOAO 1KG,Arroz Branco Tio João 1 Kg
ARZ BCO TIO JOAO 1 KG,Arroz Branco Tio João 1 Kg
ARROZ TIO JOAO BCO 1KG,Arroz Branco Tio João 1 Kg
ARR BRANCO TIO JOAO 1KG,Arroz Branco Tio João 1 Kg
ARRZ TIO JOA BCO 1KG,Arroz Branco Tio João 1 Kg
ARROZ BCO 1KG TIO JOAO,Arroz Branco Tio João 1 Kg
ARZ BRCO TIO JOAO 1KG,Arroz Branco Tio João 1 Kg
ARROZ BCO TIO JO 1KG,Arroz Branco Tio João 1 Kg
ARR BCO T JOAO 1 KG,Arroz Branco Tio João 1 Kg
FEJ CARIOCA KICALDO 1KG,Feijão Carioca Kicaldo 1 Kg
FEIJAO CARIOCA KICALDO 1KG,Feijão Carioca Kicaldo 1 Kg
FEIJ CAR KICALDO 1 KG,Feijão Carioca Kicaldo 1 Kg
FJO CARIOCA KICALDO 1KG,Feijão Carioca Kicaldo 1 Kg
FEIJAO CARICOA KICALDO 1KG,Feijão Carioca Kicaldo 1 Kg
FEIJ CARIOCA KIC 1KG,Feijão Carioca Kicaldo 1 Kg
FJ CARIOCA KICALDO 1KG,Feijão Carioca Kicaldo 1 Kg
FEIJAO CARIOCA KICLD 1KG,Feijão Carioca Kicaldo 1 Kg
FEIJAO CAR KICALDO 1 KG,Feijão Carioca Kicaldo 1 Kg
FJO CAR KICALDO1KG,Feijão Carioca Kicaldo 1 Kg
LEITE INTEGRAL ITALAC 1L,Leite Integral Italac 1 Litro
LT INTEG ITALAC 1L,Leite Integral Italac 1 Litro
LEITE INT ITALAC 1LT,Leite Integral Italac 1 Litro
LEITE ITALAC INTEGRAL 1L,Leite Integral Italac 1 Litro
LTE INTEGRAL ITALAC 1L,Leite Integral Italac 1 Litro
LEITE ITALAC 1L INT,Leite Integral Italac 1 Litro
LT INT ITALAC 1 LITRO,Leite Integral Italac 1 Litro
LEITE INTGL ITALAC 1LT,Leite Integral Italac 1 Litro
LEITE ITALAC INTEG 1000ML,Leite Integral Italac 1 Litro
LT ITALAC INTEGRAL 1L,Leite Integral Italac 1 Litro
ACU CRISTAL UNIAO 1KG,Açúcar Cristal União 1 Kg
ACUCAR CRISTAL UNIAO 1KG,Açúcar Cristal União 1 Kg
ACU CRIST UNIAO 1 KG,Açúcar Cristal União 1 Kg
AÇUCAR CRISTAL UNIAO 1KG,Açúcar Cristal União 1 Kg
ACUCAR CRITAL UNIAO 1KG,Açúcar Cristal União 1 Kg
ACU CRISTAL UNI 1KG,Açúcar Cristal União 1 Kg
ACUCAR UNIAO CRISTAL 1KG,Açúcar Cristal União 1 Kg
AÇUCAR UNION CRISTAL 1KG,Açúcar Cristal União 1 Kg
ACUCAR CRIST UNIAO1KG,Açúcar Cristal União 1 Kg
ACU CRISAL UNIAO 1KG,Açúcar Cristal União 1 Kg
CAFE PILO TRAD 500G,Café Tradicional Pilão 500 g
CAFE TRADICIONAL PILAO 500G,Café Tradicional Pilão 500 g
CF TRAD PILAO 500G,Café Tradicional Pilão 500 g
CAFE PILAO 500G TRAD,Café Tradicional Pilão 500 g
CAFE TRAD PILAO 500GR,Café Tradicional Pilão 500 g
CAF TRADICIONAL PILAO 500G,Café Tradicional Pilão 500 g
CAFE TRAD PILAÔ 500G,Café Tradicional Pilão 500 g
CAFE PILÃO TRADICIONAL 500G,Café Tradicional Pilão 500 g
CAFE TRAD PIL 500G,Café Tradicional Pilão 500 g
CFE TRADICIONAL PILAO 500G,Café Tradicional Pilão 500 g
DET LIMAO YPE 500ML,Detergente Limão Ypê 500 ml
DETERGENTE LIMAO YPE 500ML,Detergente Limão Ypê 500 ml
DET LIM IPE 500ML,Detergente Limão Ypê 500 ml
DETERG LIMAO YPE 500 ML,Detergente Limão Ypê 500 ml
DETERGNT LIMAO YPE 500ML,Detergente Limão Ypê 500 ml
DET LIMÃO YPE 500ML,Detergente Limão Ypê 500 ml
DETERGENTE LIM YPE 500ML,Detergente Limão Ypê 500 ml
DETERGT LIMAO YPE 500ML,Detergente Limão Ypê 500 ml
DET LM YPÊ 500ML,Detergente Limão Ypê 500 ml
DETERG LIM IPÊ 500 ML,Detergente Limão Ypê 500 ml
SAB PO OMO LAVANDA 1KG,Sabão em Pó OMO Lavanda 1 Kg
SABAO EM PO OMO LAVANDA 1KG,Sabão em Pó OMO Lavanda 1 Kg
SABAO PO LAVANDA OMO 1KG,Sabão em Pó OMO Lavanda 1 Kg
SAB PO OMO LAV 1KG,Sabão em Pó OMO Lavanda 1 Kg
SABAO LAVANDA OMO 1KG,Sabão em Pó OMO Lavanda 1 Kg
SAB EM PO OMO LAVANDA 1KG,Sabão em Pó OMO Lavanda 1 Kg
SABAO PO OMO LAVNDA 1KG,Sabão em Pó OMO Lavanda 1 Kg
SAB EM P OMO LAVANDA 1KG,Sabão em Pó OMO Lavanda 1 Kg
