original,attacked
CC 2L,CC 2L
CC 2L,CC2L
COCA COLA 2 LT,COCACOLA2LT
COCA COLA 2 LT,C0C@ C0L@ 2 LT
COCA COLA 2 LT,COCA COLA LT 2
COCA COLA 2 LT,COCA COLA 2 LT
COKA COLA 2L,C0K@ C0L@ 2L
COKA COLA 2L,COKA COLA 2L
COKA COLA 2L,COKACOLA2L
COKA COLA 2L,2L COKA COLA
COCA-COLA 2LT,COCA-COLA 2LT
COCA-COLA 2LT,COCA-COLA2LT
COCA-COLA 2LT,C0C@-C0L@ 2LT
COCACOLA 2 LITROS,COCACOLA2LITROS
COCACOLA 2 LITROS,LITROS 2 COCACOLA
COCACOLA 2 LITROS,C0C@C0L@ 2 LITR0S
COCACOLA 2 LITROS,COCACOLA 2 LITROS
CCA COLA 2L,CC@ C0L@ 2L
CCA COLA 2L,CCA COLA 2L
CCA COLA 2L,CCACOLA2L
REFRIG COCA 2L,REFRIG COCA 2L
REFRIG COCA 2L,REFRIGCOCA2L
REFRIG COCA 2L,REFRIG C0C@ 2L
REFRIG COCA 2L,COCA 2L REFRIG
COCA COLA DOIS LITROS,C0C@ C0L@ D0IS LITR0S
COCA COLA DOIS LITROS,DOIS COLA COCA LITROS
COCA COLA DOIS LITROS,COCACOLADOISLITROS
COCA COLA DOIS LITROS,COCA COLA DOIS LITROS
REFRIG CC 2LT,REFRIGCC2LT
REFRIG CC 2LT,2LT CC REFRIG
REFRIG CC 2LT,REFRIG CC 2LT
COCA COLA 2000ML,COCA COLA 2000ML
COCA COLA 2000ML,C0C@ C0L@ 2000ML
COCA COLA 2000ML,2000ML COCA COLA
COCA COLA 2000ML,COCACOLA2000ML
CADEADO PADO LT-50MM,CADEADO PADO LT-50MM
CADEADO PADO LT-50MM,C@DE@D0 P@D0 LT-50MM
CADEADO PADO LT-50MM,CADEADOPADOLT-50MM
CADEADO PADO LT-50MM,LT-50MM CADEADO PADO
CAD PDO LT50,C@D PD0 LT50
CAD PDO LT50,CAD PDO LT50
CAD PDO LT50,CADPDOLT50
CADEADO PADRAO LT 50MM,CADEADO PADRAO LT 50MM
CADEADO PADRAO LT 50MM,C@DE@D0 P@DR@0 LT 50MM
CADEADO PADRAO LT 50MM,CADEADOPADRAOLT50MM
CADEADO PADRAO LT 50MM,PADRAO LT CADEADO 50MM
CDO PADO LT-50,CDO PADO LT-50
CDO PADO LT-50,CDOPADOLT-50
CDO PADO LT-50,CD0 P@D0 LT-50
CADEADO PADO LT50MM,CADEADOPADOLT50MM
CADEADO PADO LT50MM,C@DE@D0 P@D0 LT50MM
CADEADO PADO LT50MM,CADEADO PADO LT50MM
CADEADO PADO LT50MM,PADO LT50MM CADEADO
CAD PADR LT-50MM,CADPADRLT-50MM
CAD PADR LT-50MM,CAD PADR LT-50MM
CAD PADR LT-50MM,C@D P@DR LT-50MM
CAD PADR LT-50MM,PADR CAD LT-50MM
CADEADO PDO 50MM,CADEADO PDO 50MM
CADEADO PDO 50MM,CADEADOPDO50MM
CADEADO PDO 50MM,PDO CADEADO 50MM
CADEADO PDO 50MM,C@DE@D0 PD0 50MM
CADEADO PADO MOD LT50,PADO CADEADO LT50 MOD
CADEADO PADO MOD LT50,CADEADOPADOMODLT50
CADEADO PADO MOD LT50,C@DE@D0 P@D0 M0D LT50
CADEADO PADO MOD LT50,CADEADO PADO MOD LT50
CDO PAD LT 50 MM,50 MM LT CDO PAD
CDO PAD LT 50 MM,CDO PAD LT 50 MM
CDO PAD LT 50 MM,CD0 P@D LT 50 MM
CDO PAD LT 50 MM,CDOPADLT50MM
CADEADO PADO LT - 50 MM,C@DE@D0 P@D0 LT - 50 MM
CADEADO PADO LT - 50 MM,CADEADOPADOLT-50MM
CADEADO PADO LT - 50 MM,CADEADO PADO LT - 50 MM
CADEADO PADO LT - 50 MM,PADO CADEADO - LT MM 50
ARR BCO TJ 1KG,ARR 1KG BCO TJ
ARR BCO TJ 1KG,@RR BC0 TJ 1KG
ARR BCO TJ 1KG,ARR BCO TJ 1KG
ARR BCO TJ 1KG,ARRBCOTJ1KG
ARROZ BRANCO TIO JOAO 1KG,ARROZ BRANCO TIO JOAO 1KG
ARROZ BRANCO TIO JOAO 1KG,ARROZBRANCOTIOJOAO1KG
ARROZ BRANCO TIO JOAO 1KG,ARROZ 1KG TIO BRANCO JOAO
ARROZ BRANCO TIO JOAO 1KG,@RR0Z BR@NC0 TI0 J0@0 1KG
ARZ BCO TIO JOAO 1 KG,@RZ BC0 TI0 J0@0 1 KG
ARZ BCO TIO JOAO 1 KG,ARZBCOTIOJOAO1KG
ARZ BCO TIO JOAO 1 KG,ARZ BCO TIO JOAO 1 KG
ARZ BCO TIO JOAO 1 KG,TIO JOAO KG 1 BCO ARZ
ARROZ TIO JOAO BCO 1KG,ARROZ TIO JOAO BCO 1KG
ARROZ TIO JOAO BCO 1KG,ARROZTIOJOAOBCO1KG
ARROZ TIO JOAO BCO 1KG,@RR0Z TI0 J0@0 BC0 1KG
ARROZ TIO JOAO BCO 1KG,1KG ARROZ TIO JOAO BCO
ARR BRANCO TIO JOAO 1KG,1KG TIO JOAO BRANCO ARR
ARR BRANCO TIO JOAO 1KG,ARR BRANCO TIO JOAO 1KG
ARR BRANCO TIO JOAO 1KG,ARRBRANCOTIOJOAO1KG
ARR BRANCO TIO JOAO 1KG,@RR BR@NC0 TI0 J0@0 1KG
ARRZ TIO JOA BCO 1KG,ARRZ 1KG TIO BCO JOA
ARRZ TIO JOA BCO 1KG,@RRZ TI0 J0@ BC0 1KG
ARRZ TIO JOA BCO 1KG,ARRZ TIO JOA BCO 1KG
ARRZ TIO JOA BCO 1KG,ARRZTIOJOABCO1KG
ARROZ BCO 1KG TIO JOAO,ARROZ BCO 1KG TIO JOAO
ARROZ BCO 1KG TIO JOAO,ARROZBCO1KGTIOJOAO
ARROZ BCO 1KG TIO JOAO,@RR0Z BC0 1KG TI0 J0@0
ARROZ BCO 1KG TIO JOAO,1KG BCO TIO ARROZ JOAO
ARZ BRCO TIO JOAO 1KG,ARZ BRCO TIO JOAO 1KG
ARZ BRCO TIO JOAO 1KG,TIO BRCO 1KG JOAO ARZ
ARZ BRCO TIO JOAO 1KG,ARZBRCOTIOJOAO1KG
ARZ BRCO TIO JOAO 1KG,@RZ BRC0 TI0 J0@0 1KG
ARROZ BCO TIO JO 1KG,ARROZBCOTIOJO1KG
ARROZ BCO TIO JO 1KG,@RR0Z BC0 TI0 J0 1KG
ARROZ BCO TIO JO 1KG,ARROZ BCO TIO JO 1KG
ARROZ BCO TIO JO 1KG,1KG BCO JO ARROZ TIO
ARR BCO T JOAO 1 KG,T KG JOAO ARR 1 BCO
ARR BCO T JOAO 1 KG,ARRBCOTJOAO1KG
ARR BCO T JOAO 1 KG,@RR BC0 T J0@0 1 KG
ARR BCO T JOAO 1 KG,ARR BCO T JOAO 1 KG
FEJ CARIOCA KICALDO 1KG,FEJ CARIOCA KICALDO 1KG
FEJ CARIOCA KICALDO 1KG,FEJ C@RI0C@ KIC@LD0 1KG
FEJ CARIOCA KICALDO 1KG,FEJCARIOCAKICALDO1KG
FEJ CARIOCA KICALDO 1KG,KICALDO CARIOCA FEJ 1KG
FEIJAO CARIOCA KICALDO 1KG,1KG FEIJAO KICALDO CARIOCA
FEIJAO CARIOCA KICALDO 1KG,FEIJAOCARIOCAKICALDO1KG
FEIJAO CARIOCA KICALDO 1KG,FEIJAO CARIOCA KICALDO 1KG
FEIJAO CARIOCA KICALDO 1KG,FEIJ@0 C@RI0C@ KIC@LD0 1KG
FEIJ CAR KICALDO 1 KG,FEIJCARKICALDO1KG
FEIJ CAR KICALDO 1 KG,FEIJ CAR KICALDO 1 KG
FEIJ CAR KICALDO 1 KG,FEIJ C@R KIC@LD0 1 KG
FEIJ CAR KICALDO 1 KG,1 FEIJ KG KICALDO CAR
FJO CARIOCA KICALDO 1KG,FJOCARIOCAKICALDO1KG
FJO CARIOCA KICALDO 1KG,KICALDO 1KG FJO CARIOCA
FJO CARIOCA KICALDO 1KG,FJO CARIOCA KICALDO 1KG
FJO CARIOCA KICALDO 1KG,FJ0 C@RI0C@ KIC@LD0 1KG
FEIJAO CARICOA KICALDO 1KG,FEIJAOCARICOAKICALDO1KG
FEIJAO CARICOA KICALDO 1KG,FEIJ@0 C@RIC0@ KIC@LD0 1KG
FEIJAO CARICOA KICALDO 1KG,FEIJAO CARICOA KICALDO 1KG
FEIJAO CARICOA KICALDO 1KG,CARICOA 1KG FEIJAO KICALDO
FEIJ CARIOCA KIC 1KG,FEIJ C@RI0C@ KIC 1KG
FEIJ CARIOCA KIC 1KG,FEIJ CARIOCA KIC 1KG
FEIJ CARIOCA KIC 1KG,FEIJCARIOCAKIC1KG
FJ CARIOCA KICALDO 1KG,FJ C@RI0C@ KIC@LD0 1KG
FJ CARIOCA KICALDO 1KG,FJ KICALDO 1KG CARIOCA
FJ CARIOCA KICALDO 1KG,FJ CARIOCA KICALDO 1KG
FJ CARIOCA KICALDO 1KG,FJCARIOCAKICALDO1KG
FEIJAO CARIOCA KICLD 1KG,CARIOCA KICLD FEIJAO 1KG
FEIJAO CARIOCA KICLD 1KG,FEIJ@0 C@RI0C@ KICLD 1KG
FEIJAO CARIOCA KICLD 1KG,FEIJAO CARIOCA KICLD 1KG
FEIJAO CARIOCA KICLD 1KG,FEIJAOCARIOCAKICLD1KG
FEIJAO CAR KICALDO 1 KG,FEIJAOCARKICALDO1KG
FEIJAO CAR KICALDO 1 KG,FEIJAO KICALDO CAR 1 KG
FEIJAO CAR KICALDO 1 KG,FEIJAO CAR KICALDO 1 KG
FEIJAO CAR KICALDO 1 KG,FEIJ@0 C@R KIC@LD0 1 KG
FJO CAR KICALDO1KG,FJOCARKICALDO1KG
FJO CAR KICALDO1KG,FJ0 C@R KIC@LD01KG
FJO CAR KICALDO1KG,FJO KICALDO1KG CAR
FJO CAR KICALDO1KG,FJO CAR KICALDO1KG
LEITE INTEGRAL ITALAC 1L,LEITE INTEGR@L IT@L@C 1L
LEITE INTEGRAL ITALAC 1L,LEITEINTEGRALITALAC1L
LEITE INTEGRAL ITALAC 1L,LEITE INTEGRAL ITALAC 1L
LT INTEG ITALAC 1L,LT INTEG IT@L@C 1L
LT INTEG ITALAC 1L,INTEG ITALAC 1L LT
LT INTEG ITALAC 1L,LT INTEG ITALAC 1L
LT INTEG ITALAC 1L,LTINTEGITALAC1L
LEITE INT ITALAC 1LT,INT 1LT ITALAC LEITE
LEITE INT ITALAC 1LT,LEITE INT IT@L@C 1LT
LEITE INT ITALAC 1LT,LEITE INT ITALAC 1LT
LEITE INT ITALAC 1LT,LEITEINTITALAC1LT
LEITE ITALAC INTEGRAL 1L,LEITEITALACINTEGRAL1L
LEITE ITALAC INTEGRAL 1L,LEITE ITALAC INTEGRAL 1L
LEITE ITALAC INTEGRAL 1L,LEITE IT@L@C INTEGR@L 1L
LTE INTEGRAL ITALAC 1L,INTEGRAL ITALAC LTE 1L
LTE INTEGRAL ITALAC 1L,LTEINTEGRALITALAC1L
LTE INTEGRAL ITALAC 1L,LTE INTEGRAL ITALAC 1L
LTE INTEGRAL ITALAC 1L,LTE INTEGR@L IT@L@C 1L
LEITE ITALAC 1L INT,LEITEITALAC1LINT
LEITE ITALAC 1L INT,LEITE ITALAC 1L INT
LEITE ITALAC 1L INT,LEITE IT@L@C 1L INT
LEITE ITALAC 1L INT,ITALAC LEITE 1L INT
LT INT ITALAC 1 LITRO,LT INT ITALAC 1 LITRO
LT INT ITALAC 1 LITRO,LTINTITALAC1LITRO
LT INT ITALAC 1 LITRO,LT INT IT@L@C 1 LITR0
LT INT ITALAC 1 LITRO,ITALAC INT LT 1 LITRO
LEITE INTGL ITALAC 1LT,LEITE INTGL IT@L@C 1LT
LEITE INTGL ITALAC 1LT,1LT INTGL LEITE ITALAC
LEITE INTGL ITALAC 1LT,LEITEINTGLITALAC1LT
LEITE INTGL ITALAC 1LT,LEITE INTGL ITALAC 1LT
LEITE ITALAC INTEG 1000ML,LEITEITALACINTEG1000ML
LEITE ITALAC INTEG 1000ML,LEITE ITALAC INTEG 1000ML
LEITE ITALAC INTEG 1000ML,LEITE IT@L@C INTEG 1000ML
LT ITALAC INTEGRAL 1L,LT IT@L@C INTEGR@L 1L
LT ITALAC INTEGRAL 1L,INTEGRAL ITALAC 1L LT
LT ITALAC INTEGRAL 1L,LT ITALAC INTEGRAL 1L
LT ITALAC INTEGRAL 1L,LTITALACINTEGRAL1L
ACU CRISTAL UNIAO 1KG,1KG UNIAO CRISTAL ACU
ACU CRISTAL UNIAO 1KG,ACUCRISTALUNIAO1KG
ACU CRISTAL UNIAO 1KG,ACU CRISTAL UNIAO 1KG
ACU CRISTAL UNIAO 1KG,@CU CRIST@L UNI@0 1KG
ACUCAR CRISTAL UNIAO 1KG,ACUCARCRISTALUNIAO1KG
ACUCAR CRISTAL UNIAO 1KG,@CUC@R CRIST@L UNI@0 1KG
ACUCAR CRISTAL UNIAO 1KG,UNIAO ACUCAR CRISTAL 1KG
ACUCAR CRISTAL UNIAO 1KG,ACUCAR CRISTAL UNIAO 1KG
ACU CRIST UNIAO 1 KG,ACUCRISTUNIAO1KG
ACU CRIST UNIAO 1 KG,@CU CRIST UNI@0 1 KG
ACU CRIST UNIAO 1 KG,ACU CRIST UNIAO 1 KG
ACU CRIST UNIAO 1 KG,UNIAO ACU 1 KG CRIST
AÇUCAR CRISTAL UNIAO 1KG,AÇUCARCRISTALUNIAO1KG
AÇUCAR CRISTAL UNIAO 1KG,@ÇUC@R CRIST@L UNI@0 1KG
AÇUCAR CRISTAL UNIAO 1KG,AÇUCAR CRISTAL UNIAO 1KG
AÇUCAR CRISTAL UNIAO 1KG,1KG CRISTAL AÇUCAR UNIAO
ACUCAR CRITAL UNIAO 1KG,ACUCAR 1KG CRITAL UNIAO
ACUCAR CRITAL UNIAO 1KG,@CUC@R CRIT@L UNI@0 1KG
ACUCAR CRITAL UNIAO 1KG,ACUCARCRITALUNIAO1KG
ACUCAR CRITAL UNIAO 1KG,ACUCAR CRITAL UNIAO 1KG
ACU CRISTAL UNI 1KG,ACUCRISTALUNI1KG
ACU CRISTAL UNI 1KG,@CU CRIST@L UNI 1KG
ACU CRISTAL UNI 1KG,1KG ACU CRISTAL UNI
ACU CRISTAL UNI 1KG,ACU CRISTAL UNI 1KG
ACUCAR UNIAO CRISTAL 1KG,@CUC@R UNI@0 CRIST@L 1KG
ACUCAR UNIAO CRISTAL 1KG,ACUCAR UNIAO CRISTAL 1KG
ACUCAR UNIAO CRISTAL 1KG,ACUCARUNIAOCRISTAL1KG
ACUCAR UNIAO CRISTAL 1KG,CRISTAL ACUCAR UNIAO 1KG
AÇUCAR UNION CRISTAL 1KG,UNION 1KG AÇUCAR CRISTAL
AÇUCAR UNION CRISTAL 1KG,AÇUCAR UNION CRISTAL 1KG
AÇUCAR UNION CRISTAL 1KG,AÇUCARUNIONCRISTAL1KG
AÇUCAR UNION CRISTAL 1KG,@ÇUC@R UNI0N CRIST@L 1KG
