original,attacked,normalized
NEUTRAQUIMIC 500ML ELIMINA CHEIRO PREVINE E QUEDA BORABELLA,neutraquimic 500ml elimina cheiro previne e queda borabella,NEUTRAQUIMIC ELIMINA CHEIRO PREVINE E QUEDA BORABELLA - 500 MILILITROS
MY PHIOS REALINHAMENTO CAPILAR PROLISS 2X1000ML ORIGINAL,2X1000ML PROLISS CAPILAR PHIOS ORIGINAL MY REALINHAMENTO,"2X1000ML PROLISS CAPILAR PHIOS ORIGINAL MY REALINHAMENTO - 1000 MILILITROS, 2 UNIDADES"
FELPS KIT BANHO DE VERNIZ 2X1L MASCARA 1KG BRINDE,felps kit banho de verniz 2x1l mascara 1kg brinde,"FELPS KIT BANHO DE VERNIZ MASCARA BRINDE - 1 LITRO, 2 UNIDADES"
MASCARA CAPILAR NUTRICO INTENSA BANANA E MEL PROHAIR 1KG,MSSCARA CAPILAR NITRICO INRENSA BANAJA E MEL PFOHAIR 1KG,MSSCARA CAPILAR NITRICO INRENSA BANAJA E MEL PFOHAIR - 1 QUILOGRAMA
2 KIT ZAP PROGRESSIVA ALL TIME ORGNICA SEM FORMOL BRINDE,ZAP KIT ALL BRINDE PROGRESSIVA TIME FORMOL 2 ORGNICA SEM,ZAP KIT ALL PROGRESSIVA TIME FORMOL ORGÂNICA SEM - 1 UNIDADE
BRAE REVIVAL GORGEOUS SHINE OIL FINALIZADOR 60ML,GRAE REVIVAL GORGEOYS SHINE OIL FINALIZADOR 60ML,GRAE REVIVAL GORGEOUS SHINE OIL FINALIZADOR - 60 MILILITROS
NOVO CREME DE SILICONE ANEETHUN LINHA A 100ML,SILICONE CREME NOVO DE LINHA A ANEETHUN 100ML,SILICONE CREME NOVO DE LINHA A ANEETHUN - 100 MILILITROS
KIT ORGANIC DE ALHO CRESCIMENTO FLORA PURA,ORGANIC FLORA ALHO PURA CRESCIMENTO KIT DE,ORGANIC FLORA ALHO PURA CRESCIMENTO KIT - 1 UNIDADE
OLEO DE ALECRIM 1 LITRO CRESCIMENTO E ANTIQUEDA 100 PURO,ANTIQUEDA LITRO PURO E CRESCIMENTO ALECRIM 100 DE OLEO 1,ANTIQUEDA LITRO PURO E CRESCIMENTO ALECRIM ÓLEO - 1 UNIDADE
12 PRODUTOS 4 KITS SHAMPOO CONDICIONADOR E MASCARA ATACADO,CONDICIONADOR PRODUTOS 4 E KITS ATACADO SHAMPOO 12 MASCARA,CONDICIONADOR PRODUTOS KITS ATACADO SHAMPOO MASCARA - 12 METROS
